 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Ni1
 Reduced formula:  Ni
 space group: (Fm-3m), space number:  (225)
 abc:  2.457299   2.457299   2.457299
 angles: 60.000000  60.000000  60.000000
 sites: 1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=28 Rmt= 1.308 Rnm= 1.345 K  shell
 Pot 1 Z=28 Rmt= 1.325 Rnm= 1.366
 Gam_ch=1.576E+00 H-L exch
 Mu=-1.136E+01 kf=2.075E+00 Vint=-2.777E+01 Rs_int= 1.747
 PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   3.6859    2.5812  -11.35689 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
    -1.7376   -0.0000    1.7376  1  28 Ni
    -1.7376   -1.7376   -0.0000  1  28 Ni
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.3073E+00  4.3416E-06 -6.1121E+00  1.004E+00  2.0077E+01  2.0761E+00
  0.100  3.3071E+00  3.3685E-03 -6.8320E+00  1.004E+00  2.0099E+01  2.0784E+00
  0.200  3.3065E+00  6.5647E-03 -7.5202E+00  1.005E+00  2.0163E+01  2.0853E+00
  0.300  3.3054E+00  9.4374E-03 -8.1756E+00  1.005E+00  2.0265E+01  2.0967E+00
  0.400  3.3037E+00  1.1873E-02 -8.7979E+00  1.005E+00  2.0394E+01  2.1127E+00
  0.500  3.3015E+00  1.3808E-02 -9.3867E+00  1.006E+00  2.0538E+01  2.1330E+00
  0.600  3.2985E+00  1.5218E-02 -9.9409E+00  1.006E+00  2.0682E+01  2.1576E+00
  0.700  3.2946E+00  1.6136E-02 -1.0459E+01  1.007E+00  2.0809E+01  2.1863E+00
  0.800  3.2897E+00  1.6628E-02 -1.0940E+01  1.008E+00  2.0898E+01  2.2191E+00
  0.900  3.2835E+00  1.6795E-02 -1.1382E+01  1.009E+00  2.0932E+01  2.2558E+00
  1.000  3.2759E+00  1.6768E-02 -1.1783E+01  1.011E+00  2.0895E+01  2.2962E+00
  1.100  3.2666E+00  1.6697E-02 -1.2142E+01  1.012E+00  2.0773E+01  2.3402E+00
  1.200  3.2554E+00  1.6747E-02 -1.2462E+01  1.014E+00  2.0557E+01  2.3877E+00
  1.300  3.2421E+00  1.7096E-02 -1.2746E+01  1.017E+00  2.0247E+01  2.4387E+00
  1.400  3.2264E+00  1.7837E-02 -1.3009E+01  1.019E+00  1.9847E+01  2.4929E+00
  1.500  3.2079E+00  1.9039E-02 -1.3259E+01  1.023E+00  1.9368E+01  2.5504E+00
  1.600  3.1865E+00  2.0697E-02 -1.3507E+01  1.026E+00  1.8825E+01  2.6112E+00
  1.700  3.1617E+00  2.2740E-02 -1.3758E+01  1.030E+00  1.8240E+01  2.6751E+00
  1.800  3.1332E+00  2.5069E-02 -1.4013E+01  1.034E+00  1.7634E+01  2.7421E+00
  1.900  3.1006E+00  2.7584E-02 -1.4271E+01  1.039E+00  1.7030E+01  2.8124E+00
  2.000  3.0635E+00  3.0173E-02 -1.4531E+01  1.043E+00  1.6452E+01  2.8859E+00
  2.200  2.9742E+00  3.5212E-02 -1.5047E+01  1.052E+00  1.5461E+01  3.0432E+00
  2.400  2.8462E+00  3.9048E-02 -1.5504E+01  1.058E+00  1.4825E+01  3.2226E+00
  2.600  2.7120E+00  5.3142E-02 -1.6046E+01  1.179E+00  8.5434E+00  3.4077E+00
  2.800  2.6939E+00  6.6431E-02 -1.6612E+01  1.240E+00  6.8412E+00  3.5446E+00
  3.000  2.6749E+00  7.7317E-02 -1.7183E+01  1.263E+00  6.1517E+00  3.6790E+00
  3.200  2.6300E+00  8.5269E-02 -1.7727E+01  1.268E+00  5.8227E+00  3.8235E+00
  3.400  2.5717E+00  9.0957E-02 -1.8245E+01  1.261E+00  5.6793E+00  3.9738E+00
  3.600  2.5049E+00  9.5944E-02 -1.8724E+01  1.250E+00  5.6442E+00  4.1293E+00
  3.800  2.4308E+00  9.8375E-02 -1.9163E+01  1.233E+00  5.6801E+00  4.2895E+00
  4.000  2.3517E+00  9.9610E-02 -1.9562E+01  1.218E+00  5.7662E+00  4.4537E+00
  4.200  2.2696E+00  9.8346E-02 -1.9923E+01  1.198E+00  5.8902E+00  4.6217E+00
  4.400  2.1843E+00  9.5345E-02 -2.0250E+01  1.180E+00  6.0440E+00  4.7929E+00
  4.600  2.0969E+00  9.0809E-02 -2.0549E+01  1.164E+00  6.2222E+00  4.9669E+00
  4.800  2.0089E+00  8.4577E-02 -2.0820E+01  1.148E+00  6.4209E+00  5.1436E+00
  5.000  1.9196E+00  7.7634E-02 -2.1068E+01  1.133E+00  6.6373E+00  5.3225E+00
  5.200  1.8297E+00  7.0166E-02 -2.1297E+01  1.119E+00  6.8693E+00  5.5033E+00
  5.400  1.7394E+00  6.2539E-02 -2.1510E+01  1.106E+00  7.1151E+00  5.6860E+00
  5.600  1.6485E+00  5.4954E-02 -2.1711E+01  1.093E+00  7.3735E+00  5.8702E+00
  5.800  1.5578E+00  4.7580E-02 -2.1906E+01  1.081E+00  7.6435E+00  6.0558E+00
  6.000  1.4671E+00  4.0831E-02 -2.2102E+01  1.070E+00  7.9241E+00  6.2426E+00
  6.500  1.2435E+00  2.6209E-02 -2.2640E+01  1.045E+00  8.6678E+00  6.7142E+00
  7.000  1.0276E+00  1.6310E-02 -2.3341E+01  1.025E+00  9.4655E+00  7.1910E+00
  7.500  8.2185E-01  1.1608E-02 -2.4208E+01  1.010E+00  1.0311E+01  7.6719E+00
  8.000  6.2643E-01  9.8366E-03 -2.4981E+01  9.978E-01  1.1201E+01  8.1559E+00
  8.500  4.3673E-01  8.6337E-03 -2.5541E+01  9.874E-01  1.2132E+01  8.6424E+00
  9.000  2.5604E-01  6.7861E-03 -2.5934E+01  9.778E-01  1.3102E+01  9.1308E+00
  9.500  8.0889E-02  4.9345E-03 -2.6177E+01  9.673E-01  1.4107E+01  9.6208E+00
 10.000 -8.9009E-02  3.5219E-03 -2.6319E+01  9.569E-01  1.5148E+01  1.0112E+01
 11.000 -4.1191E-01  1.1252E-03 -2.6912E+01  9.425E-01  1.7327E+01  1.1098E+01
 12.000 -7.1315E-01  1.8112E-03 -2.3824E+01  9.339E-01  1.9632E+01  1.2087E+01
 13.000 -9.9127E-01  3.6062E-03 -2.4524E+01  9.290E-01  2.2053E+01  1.3078E+01
 14.000 -1.2475E+00  3.8818E-03 -2.4966E+01  9.269E-01  2.4586E+01  1.4070E+01
 15.000 -1.4866E+00  4.0231E-03 -2.5227E+01  9.260E-01  2.7226E+01  1.5064E+01
 16.000 -1.7079E+00  4.1114E-03 -2.5555E+01  9.263E-01  2.9967E+01  1.6059E+01
 17.000 -1.9146E+00  3.8715E-03 -2.5875E+01  9.271E-01  3.2806E+01  1.7054E+01
 18.000 -2.1078E+00  3.6069E-03 -2.6159E+01  9.282E-01  3.5739E+01  1.8050E+01
 19.000 -2.2883E+00  3.4199E-03 -2.6428E+01  9.296E-01  3.8763E+01  1.9047E+01
