 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Ni1
 Reduced formula:  Ni
 space group: (Fm-3m), space number:  (225)
 abc:  2.457299   2.457299   2.457299
 angles: 60.000000  60.000000  60.000000
 sites: 1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=28 Rmt= 1.308 Rnm= 1.345 K  shell
 Pot 1 Z=28 Rmt= 1.325 Rnm= 1.366
 Gam_ch=1.576E+00 H-L exch
 Mu=-1.136E+01 kf=2.075E+00 Vint=-2.777E+01 Rs_int= 1.747
 PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   2   6.000   3.4752    2.5812  -11.35689 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
    -0.0000   -3.4752   -0.0000  1  28 Ni
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.3073E+00  4.3156E-05 -6.5952E-01  1.004E+00  2.0077E+01  2.0761E+00
  0.100  3.3071E+00  3.3688E-02 -1.3391E+00  1.004E+00  2.0099E+01  2.0784E+00
  0.200  3.3065E+00  6.6845E-02 -1.9905E+00  1.005E+00  2.0163E+01  2.0853E+00
  0.300  3.3054E+00  9.8976E-02 -2.6132E+00  1.005E+00  2.0265E+01  2.0967E+00
  0.400  3.3037E+00  1.2965E-01 -3.2074E+00  1.005E+00  2.0394E+01  2.1127E+00
  0.500  3.3015E+00  1.5851E-01 -3.7738E+00  1.006E+00  2.0538E+01  2.1330E+00
  0.600  3.2985E+00  1.8529E-01 -4.3128E+00  1.006E+00  2.0682E+01  2.1576E+00
  0.700  3.2946E+00  2.0982E-01 -4.8252E+00  1.007E+00  2.0809E+01  2.1863E+00
  0.800  3.2897E+00  2.3196E-01 -5.3116E+00  1.008E+00  2.0898E+01  2.2191E+00
  0.900  3.2835E+00  2.5166E-01 -5.7727E+00  1.009E+00  2.0932E+01  2.2558E+00
  1.000  3.2759E+00  2.6887E-01 -6.2091E+00  1.011E+00  2.0895E+01  2.2962E+00
  1.100  3.2666E+00  2.8359E-01 -6.6214E+00  1.012E+00  2.0773E+01  2.3402E+00
  1.200  3.2554E+00  2.9579E-01 -7.0101E+00  1.014E+00  2.0557E+01  2.3877E+00
  1.300  3.2421E+00  3.0547E-01 -7.3756E+00  1.017E+00  2.0247E+01  2.4387E+00
  1.400  3.2264E+00  3.1262E-01 -7.7181E+00  1.019E+00  1.9847E+01  2.4929E+00
  1.500  3.2079E+00  3.1720E-01 -8.0377E+00  1.023E+00  1.9368E+01  2.5504E+00
  1.600  3.1865E+00  3.1920E-01 -8.3342E+00  1.026E+00  1.8825E+01  2.6112E+00
  1.700  3.1617E+00  3.1857E-01 -8.6072E+00  1.030E+00  1.8240E+01  2.6751E+00
  1.800  3.1332E+00  3.1530E-01 -8.8559E+00  1.034E+00  1.7634E+01  2.7421E+00
  1.900  3.1006E+00  3.0937E-01 -9.0790E+00  1.039E+00  1.7030E+01  2.8124E+00
  2.000  3.0635E+00  3.0083E-01 -9.2749E+00  1.043E+00  1.6452E+01  2.8859E+00
  2.200  2.9742E+00  2.7637E-01 -9.5739E+00  1.052E+00  1.5461E+01  3.0432E+00
  2.400  2.8462E+00  2.3554E-01 -9.6754E+00  1.058E+00  1.4825E+01  3.2226E+00
  2.600  2.7120E+00  2.0779E-01 -9.8090E+00  1.179E+00  8.5434E+00  3.4077E+00
  2.800  2.6939E+00  1.9569E-01 -1.0097E+01  1.240E+00  6.8412E+00  3.5446E+00
  3.000  2.6749E+00  1.9055E-01 -1.0285E+01  1.263E+00  6.1517E+00  3.6790E+00
  3.200  2.6300E+00  1.9967E-01 -1.0361E+01  1.268E+00  5.8227E+00  3.8235E+00
  3.400  2.5717E+00  2.3219E-01 -1.0421E+01  1.261E+00  5.6793E+00  3.9738E+00
  3.600  2.5049E+00  2.8129E-01 -1.0515E+01  1.250E+00  5.6442E+00  4.1293E+00
  3.800  2.4308E+00  3.4020E-01 -1.0642E+01  1.233E+00  5.6801E+00  4.2895E+00
  4.000  2.3517E+00  4.0364E-01 -1.0784E+01  1.218E+00  5.7662E+00  4.4537E+00
  4.200  2.2696E+00  4.6591E-01 -1.0930E+01  1.198E+00  5.8902E+00  4.6217E+00
  4.400  2.1843E+00  5.2507E-01 -1.1074E+01  1.180E+00  6.0440E+00  4.7929E+00
  4.600  2.0969E+00  5.8050E-01 -1.1214E+01  1.164E+00  6.2222E+00  4.9669E+00
  4.800  2.0089E+00  6.2913E-01 -1.1343E+01  1.148E+00  6.4209E+00  5.1436E+00
  5.000  1.9196E+00  6.7315E-01 -1.1467E+01  1.133E+00  6.6373E+00  5.3225E+00
  5.200  1.8297E+00  7.1220E-01 -1.1584E+01  1.119E+00  6.8693E+00  5.5033E+00
  5.400  1.7394E+00  7.4507E-01 -1.1692E+01  1.106E+00  7.1151E+00  5.6860E+00
  5.600  1.6485E+00  7.7295E-01 -1.1795E+01  1.093E+00  7.3735E+00  5.8702E+00
  5.800  1.5578E+00  7.9524E-01 -1.1891E+01  1.081E+00  7.6435E+00  6.0558E+00
  6.000  1.4671E+00  8.1208E-01 -1.1981E+01  1.070E+00  7.9241E+00  6.2426E+00
  6.500  1.2435E+00  8.2899E-01 -1.2184E+01  1.045E+00  8.6678E+00  6.7142E+00
  7.000  1.0276E+00  8.1659E-01 -1.2367E+01  1.025E+00  9.4655E+00  7.1910E+00
  7.500  8.2185E-01  7.8525E-01 -1.2534E+01  1.010E+00  1.0311E+01  7.6719E+00
  8.000  6.2643E-01  7.4323E-01 -1.2689E+01  9.978E-01  1.1201E+01  8.1559E+00
  8.500  4.3673E-01  6.9292E-01 -1.2835E+01  9.874E-01  1.2132E+01  8.6424E+00
  9.000  2.5604E-01  6.3746E-01 -1.2977E+01  9.778E-01  1.3102E+01  9.1308E+00
  9.500  8.0889E-02  5.8094E-01 -1.3120E+01  9.673E-01  1.4107E+01  9.6208E+00
 10.000 -8.9009E-02  5.2831E-01 -1.3263E+01  9.569E-01  1.5148E+01  1.0112E+01
 11.000 -4.1191E-01  4.3712E-01 -1.3537E+01  9.425E-01  1.7327E+01  1.1098E+01
 12.000 -7.1315E-01  3.6053E-01 -1.3801E+01  9.339E-01  1.9632E+01  1.2087E+01
 13.000 -9.9127E-01  3.0038E-01 -1.4057E+01  9.290E-01  2.2053E+01  1.3078E+01
 14.000 -1.2475E+00  2.5098E-01 -1.4304E+01  9.269E-01  2.4586E+01  1.4070E+01
 15.000 -1.4866E+00  2.0997E-01 -1.4540E+01  9.260E-01  2.7226E+01  1.5064E+01
 16.000 -1.7079E+00  1.7523E-01 -1.4755E+01  9.263E-01  2.9967E+01  1.6059E+01
 17.000 -1.9146E+00  1.4637E-01 -1.4948E+01  9.271E-01  3.2806E+01  1.7054E+01
 18.000 -2.1078E+00  1.2358E-01 -1.5120E+01  9.282E-01  3.5739E+01  1.8050E+01
 19.000 -2.2883E+00  1.0512E-01 -1.5277E+01  9.296E-01  3.8763E+01  1.9047E+01
