 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Cu1
 Reduced formula:  Cu
 space group: (Fm-3m), space number:  (225)
 abc:  2.529625   2.529625   2.529625
 angles: 60.000000  60.000000  60.000000
 sites: 1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.433 Rnm= 1.488 K  shell
 Pot 1 Z=29 Rmt= 1.359 Rnm= 1.402
 Gam_ch=1.729E+00 H-L exch
 Mu=-3.472E+00 kf=1.806E+00 Vint=-1.591E+01 Rs_int= 2.008
 PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2  12.000   2.5296    2.6489   -3.47174 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -1.7887    1.7887   -0.0000  1  29 Cu
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  4.0764E+00  9.6321E-05 -5.2437E+00  9.903E-01  1.5931E+01  1.8076E+00
  0.100  4.0767E+00  5.0105E-02 -5.7388E+00  9.906E-01  1.5954E+01  1.8102E+00
  0.200  4.0778E+00  9.8250E-02 -6.2098E+00  9.914E-01  1.6022E+01  1.8182E+00
  0.300  4.0794E+00  1.4280E-01 -6.6588E+00  9.927E-01  1.6128E+01  1.8313E+00
  0.400  4.0811E+00  1.8266E-01 -7.0874E+00  9.945E-01  1.6264E+01  1.8496E+00
  0.500  4.0826E+00  2.1737E-01 -7.4972E+00  9.967E-01  1.6416E+01  1.8729E+00
  0.600  4.0834E+00  2.4702E-01 -7.8891E+00  9.993E-01  1.6567E+01  1.9010E+00
  0.700  4.0829E+00  2.7207E-01 -8.2640E+00  1.002E+00  1.6701E+01  1.9337E+00
  0.800  4.0806E+00  2.9312E-01 -8.6220E+00  1.006E+00  1.6799E+01  1.9709E+00
  0.900  4.0758E+00  3.1073E-01 -8.9630E+00  1.010E+00  1.6844E+01  2.0124E+00
  1.000  4.0680E+00  3.2536E-01 -9.2867E+00  1.014E+00  1.6820E+01  2.0579E+00
  1.100  4.0566E+00  3.3727E-01 -9.5927E+00  1.019E+00  1.6717E+01  2.1075E+00
  1.200  4.0411E+00  3.4660E-01 -9.8808E+00  1.024E+00  1.6532E+01  2.1609E+00
  1.300  4.0209E+00  3.5333E-01 -1.0151E+01  1.029E+00  1.6267E+01  2.2181E+00
  1.400  3.9957E+00  3.5734E-01 -1.0402E+01  1.035E+00  1.5931E+01  2.2789E+00
  1.500  3.9650E+00  3.5845E-01 -1.0634E+01  1.041E+00  1.5539E+01  2.3434E+00
  1.600  3.9283E+00  3.5653E-01 -1.0847E+01  1.048E+00  1.5111E+01  2.4115E+00
  1.700  3.8853E+00  3.5122E-01 -1.1040E+01  1.054E+00  1.4670E+01  2.4834E+00
  1.800  3.8356E+00  3.4238E-01 -1.1211E+01  1.061E+00  1.4242E+01  2.5591E+00
  1.900  3.7786E+00  3.2985E-01 -1.1358E+01  1.067E+00  1.3853E+01  2.6387E+00
  2.000  3.7140E+00  3.1345E-01 -1.1480E+01  1.072E+00  1.3530E+01  2.7225E+00
  2.200  3.5276E+00  2.5834E-01 -1.1605E+01  1.074E+00  1.3210E+01  2.9171E+00
  2.400  3.4147E+00  2.4013E-01 -1.1872E+01  1.255E+00  7.0483E+00  3.0872E+00
  2.600  3.3997E+00  2.1268E-01 -1.2186E+01  1.303E+00  6.0610E+00  3.2174E+00
  2.800  3.3558E+00  1.7619E-01 -1.2360E+01  1.319E+00  5.6064E+00  3.3570E+00
  3.000  3.2946E+00  1.4646E-01 -1.2327E+01  1.312E+00  5.4188E+00  3.5044E+00
  3.200  3.2225E+00  1.3795E-01 -1.2123E+01  1.299E+00  5.3705E+00  3.6579E+00
  3.400  3.1437E+00  1.6512E-01 -1.1925E+01  1.274E+00  5.4079E+00  3.8169E+00
  3.600  3.0594E+00  2.1353E-01 -1.1850E+01  1.252E+00  5.5038E+00  3.9806E+00
  3.800  2.9725E+00  2.7137E-01 -1.1874E+01  1.227E+00  5.6428E+00  4.1485E+00
  4.000  2.8824E+00  3.3151E-01 -1.1939E+01  1.205E+00  5.8153E+00  4.3202E+00
  4.200  2.7895E+00  3.8917E-01 -1.2018E+01  1.184E+00  6.0147E+00  4.4950E+00
  4.400  2.6950E+00  4.4325E-01 -1.2102E+01  1.164E+00  6.2367E+00  4.6726E+00
  4.600  2.5981E+00  4.9434E-01 -1.2189E+01  1.147E+00  6.4782E+00  4.8527E+00
  4.800  2.4988E+00  5.4032E-01 -1.2268E+01  1.131E+00  6.7366E+00  5.0349E+00
  5.000  2.3975E+00  5.8314E-01 -1.2345E+01  1.116E+00  7.0102E+00  5.2190E+00
  5.200  2.2942E+00  6.2252E-01 -1.2420E+01  1.102E+00  7.2974E+00  5.4047E+00
