 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Cu1
 Reduced formula:  Cu
 space group: (Fm-3m), space number:  (225)
 abc:  2.529625   2.529625   2.529625
 angles: 60.000000  60.000000  60.000000
 sites: 1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.433 Rnm= 1.488 K  shell
 Pot 1 Z=29 Rmt= 1.359 Rnm= 1.402
 Gam_ch=1.729E+00 H-L exch
 Mu=-3.472E+00 kf=1.806E+00 Vint=-1.591E+01 Rs_int= 2.008
 PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   3.7944    2.6489   -3.47174 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
     1.7887   -1.7887   -0.0000  1  29 Cu
     1.7887   -0.0000    1.7887  1  29 Cu
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  4.0764E+00  3.3207E-05 -1.6244E+00  9.903E-01  1.5931E+01  1.8076E+00
  0.100  4.0767E+00  1.7089E-02 -2.3618E+00  9.906E-01  1.5954E+01  1.8102E+00
  0.200  4.0778E+00  3.2460E-02 -3.0533E+00  9.914E-01  1.6022E+01  1.8182E+00
  0.300  4.0794E+00  4.4787E-02 -3.7033E+00  9.927E-01  1.6128E+01  1.8313E+00
  0.400  4.0811E+00  5.3379E-02 -4.3162E+00  9.945E-01  1.6264E+01  1.8496E+00
  0.500  4.0826E+00  5.8207E-02 -4.8964E+00  9.967E-01  1.6416E+01  1.8729E+00
  0.600  4.0834E+00  5.9731E-02 -5.4475E+00  9.993E-01  1.6567E+01  1.9010E+00
  0.700  4.0829E+00  5.8680E-02 -5.9722E+00  1.002E+00  1.6701E+01  1.9337E+00
  0.800  4.0806E+00  5.5789E-02 -6.4713E+00  1.006E+00  1.6799E+01  1.9709E+00
  0.900  4.0758E+00  5.1693E-02 -6.9444E+00  1.010E+00  1.6844E+01  2.0124E+00
  1.000  4.0680E+00  4.6873E-02 -7.3896E+00  1.014E+00  1.6820E+01  2.0579E+00
  1.100  4.0566E+00  4.1676E-02 -7.8037E+00  1.019E+00  1.6717E+01  2.1075E+00
  1.200  4.0411E+00  3.6327E-02 -8.1807E+00  1.024E+00  1.6532E+01  2.1609E+00
  1.300  4.0209E+00  3.1035E-02 -8.5116E+00  1.029E+00  1.6267E+01  2.2181E+00
  1.400  3.9957E+00  2.6028E-02 -8.7821E+00  1.035E+00  1.5931E+01  2.2789E+00
  1.500  3.9650E+00  2.1659E-02 -8.9705E+00  1.041E+00  1.5539E+01  2.3434E+00
  1.600  3.9283E+00  1.8519E-02 -9.0526E+00  1.048E+00  1.5111E+01  2.4115E+00
  1.700  3.8853E+00  1.7311E-02 -9.0442E+00  1.054E+00  1.4670E+01  2.4834E+00
  1.800  3.8356E+00  1.8368E-02 -9.0192E+00  1.061E+00  1.4242E+01  2.5591E+00
  1.900  3.7786E+00  2.1178E-02 -9.0512E+00  1.067E+00  1.3853E+01  2.6387E+00
  2.000  3.7140E+00  2.4916E-02 -9.1454E+00  1.072E+00  1.3530E+01  2.7225E+00
  2.200  3.5276E+00  2.9971E-02 -9.3714E+00  1.074E+00  1.3210E+01  2.9171E+00
  2.400  3.4147E+00  5.2716E-02 -9.8629E+00  1.255E+00  7.0483E+00  3.0872E+00
  2.600  3.3997E+00  6.6200E-02 -1.0377E+01  1.303E+00  6.0610E+00  3.2174E+00
  2.800  3.3558E+00  7.7006E-02 -1.0921E+01  1.319E+00  5.6064E+00  3.3570E+00
  3.000  3.2946E+00  8.3346E-02 -1.1468E+01  1.312E+00  5.4188E+00  3.5044E+00
  3.200  3.2225E+00  8.7830E-02 -1.1993E+01  1.299E+00  5.3705E+00  3.6579E+00
  3.400  3.1437E+00  9.0448E-02 -1.2501E+01  1.274E+00  5.4079E+00  3.8169E+00
  3.600  3.0594E+00  9.3088E-02 -1.2973E+01  1.252E+00  5.5038E+00  3.9806E+00
  3.800  2.9725E+00  9.3619E-02 -1.3407E+01  1.227E+00  5.6428E+00  4.1485E+00
  4.000  2.8824E+00  9.3980E-02 -1.3804E+01  1.205E+00  5.8153E+00  4.3202E+00
  4.200  2.7895E+00  9.2762E-02 -1.4157E+01  1.184E+00  6.0147E+00  4.4950E+00
  4.400  2.6950E+00  9.0350E-02 -1.4476E+01  1.164E+00  6.2367E+00  4.6726E+00
  4.600  2.5981E+00  8.6878E-02 -1.4766E+01  1.147E+00  6.4782E+00  4.8527E+00
  4.800  2.4988E+00  8.2121E-02 -1.5021E+01  1.131E+00  6.7366E+00  5.0349E+00
  5.000  2.3975E+00  7.6830E-02 -1.5253E+01  1.116E+00  7.0102E+00  5.2190E+00
  5.200  2.2942E+00  7.0954E-02 -1.5463E+01  1.102E+00  7.2974E+00  5.4047E+00
