PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    12.000     2   2.5296
        2     0.00000    23.237     6.000     2   3.5774
        3     0.00000    12.390    48.000     3   3.7944
        4     0.00000     9.228    48.000     3   4.3183
        5     0.00000    56.141    24.000     2   4.3814
