Ritsumeikan University SR Center BL-10
18121210.dat
2018/12/12,17:14:20,17:32:54
コメント:,CaCO3
分光結晶:,Si(220), 2d= 0.384 nm
測定モード:,PhotonEnergy
ブロック数:,8
全測定点数:,246
 ,BorderAngle,BorderPE,DivNum,Step,Waiting(sec),Dwell(sec)
Block 0,53.82217,4000
Block 1,53.43417,4020,10,2,1,3
Block 2,53.33832,4025,10,0.5,1,3
Block 3,52.94064,4046,105,0.2,1,3
Block 4,52.79118,4054,25,0.32,1,3
Block 5,52.42229,4074,40,0.5,1,3
Block 6,51.95261,4100,20,1.3,1,3
Block 7,51.42392,4130,15,2,1,3
Block 8,50.24188,4200,20,3.5,1,3

Calculatedθ(deg.),Observedθ(deg.),hν(eV),Io(cps), SDD1(cps),SDD2(cps),SDD3(cps),TEY(cps),PEY(cps),Transmission(cps),RingCurrent(mA)
51.52855, 51.52889, 4123.98, 2022, 40420, 30947.67, 47888, 1636, 0, 0, 74.94566
51.49361, 51.49389, 4125.98, 2014.333, 40233.67, 30930.67, 47743.67, 1631.667, 0, 0, 74.928
51.45874, 51.45917, 4127.98, 2006.333, 40477.33, 31132.33, 47977.67, 1632.333, 0, 0, 74.85433
51.42392, 51.42445, 4129.97, 1997.667, 40521.33, 31020.67, 47984.67, 1636.667, 0, 0, 74.979
51.36313, 51.36389, 4133.46, 1986.667, 40181.33, 30872.67, 47619, 1637.667, 0, 0, 74.84333
51.30253, 51.30305, 4136.97, 1974, 40251, 30920, 47700, 1627, 0, 0, 74.76067
51.24212, 51.24278, 4140.46, 1962.333, 39801.67, 30569, 47220.33, 1610, 0, 0, 74.76266
51.18187, 51.18278, 4143.95, 1949.667, 39439.67, 30308.33, 46770.33, 1600.667, 0, 0, 74.84566
51.12181, 51.12250, 4147.46, 1938.667, 39471, 30222.67, 46694.33, 1597, 0, 0, 74.745
51.06194, 51.06250, 4150.97, 1924.667, 39295.67, 30257, 46611, 1589.667, 0, 0, 74.83733
51.00224, 51.00278, 4154.47, 1915, 38956.67, 29820.67, 46305.33, 1580, 0, 0, 74.866
50.94271, 50.94305, 4157.98, 1902.333, 38707.67, 29695, 45875.67, 1568.333, 0, 0, 74.85267
50.88336, 50.88361, 4161.49, 1891.333, 38007.33, 29066.33, 45027.33, 1541.667, 0, 0, 74.89667
50.82419, 50.82417, 4165.00, 1879.333, 37416.67, 28676.67, 44231.33, 1514.333, 0, 0, 74.85033
50.76519, 50.76556, 4168.48, 1865.333, 36683.33, 28058.67, 43459, 1495.333, 0, 0, 74.911
50.70637, 50.70667, 4171.98, 1854.333, 36636.67, 28039, 43389.67, 1483.667, 0, 0, 74.83434
50.64771, 50.64778, 4175.50, 1841.667, 36026.33, 27560.33, 42801, 1472.667, 0, 0, 74.87167
50.58923, 50.58917, 4179.00, 1830.333, 36094, 27730.33, 42734.33, 1464.333, 0, 0, 74.801
50.53092, 50.53111, 4182.49, 1819.333, 35987.33, 27670, 42609, 1459, 0, 0, 74.72134
50.47277, 50.47306, 4185.98, 1807.333, 35643.33, 27270, 42200.33, 1452.333, 0, 0, 74.724
50.41480, 50.41500, 4189.49, 1795.333, 35712.67, 27403.33, 42311.67, 1447.333, 0, 0, 74.689
50.35699, 50.35750, 4192.97, 1783.333, 35406.67, 27260.33, 42037.33, 1446, 0, 0, 74.719
50.29935, 50.29972, 4196.48, 1771.333, 35315.67, 27043, 41981.33, 1443.333, 0, 0, 74.73
50.24188, 50.24250, 4199.96, 1760, 35265.33, 26963.67, 41778, 1431.667, 0, 0, 74.722
