Ritsumeikan University SR Center BL-10
18121210.dat
2018/12/12,17:14:20,17:32:54
コメント:,CaCO3
分光結晶:,Si(220), 2d= 0.384 nm
測定モード:,PhotonEnergy
ブロック数:,8
全測定点数:,246
 ,BorderAngle,BorderPE,DivNum,Step,Waiting(sec),Dwell(sec)
Block 0,53.82217,4000
Block 1,53.43417,4020,10,2,1,3
Block 2,53.33832,4025,10,0.5,1,3
Block 3,52.94064,4046,105,0.2,1,3
Block 4,52.79118,4054,25,0.32,1,3
Block 5,52.42229,4074,40,0.5,1,3
Block 6,51.95261,4100,20,1.3,1,3
Block 7,51.42392,4130,15,2,1,3
Block 8,50.24188,4200,20,3.5,1,3

Calculatedθ(deg.),Observedθ(deg.),hν(eV),Io(cps), SDD1(cps),SDD2(cps),SDD3(cps),TEY(cps),PEY(cps),Transmission(cps),RingCurrent(mA)
53.22389, 53.22417, 4030.99, 2364.667, 14777, 11499, 17590, 1188, 0, 0, 75.77666
53.22009, 53.22028, 4031.19, 2362, 16955, 13131.33, 20193.67, 1258, 0, 0, 75.84766
53.21629, 53.21667, 4031.38, 2362.333, 18928.33, 14690, 22586.33, 1331.333, 0, 0, 75.846
53.21249, 53.21250, 4031.60, 2360.667, 21443, 16539.33, 25586, 1418.667, 0, 0, 75.90567
53.20869, 53.20861, 4031.80, 2360, 23934.33, 18515.33, 28398.67, 1502.667, 0, 0, 75.87767
53.20489, 53.20500, 4031.99, 2360.333, 26273, 20356, 31214, 1583.333, 0, 0, 75.83567
53.20109, 53.20111, 4032.20, 2358.333, 28363, 21919, 33755.67, 1666.333, 0, 0, 75.791
53.19729, 53.19750, 4032.39, 2356, 30962.67, 23969.33, 36782.67, 1744.667, 0, 0, 75.79833
53.19349, 53.19389, 4032.58, 2356, 32809.67, 25432.33, 39009.67, 1814, 0, 0, 75.86467
53.18969, 53.18972, 4032.80, 2355, 34759.67, 26841, 41372.33, 1887, 0, 0, 75.836
53.18590, 53.18583, 4033.00, 2354.667, 36657.33, 28302.33, 43563.67, 1949.667, 0, 0, 75.80933
53.18210, 53.18222, 4033.19, 2353.667, 37985.67, 29163, 45253.33, 2001.667, 0, 0, 75.81267
53.17831, 53.17833, 4033.40, 2353, 39519.67, 30512.33, 46874.67, 2050.333, 0, 0, 75.884
53.17451, 53.17472, 4033.59, 2352.333, 40654, 31302.67, 48272.33, 2097, 0, 0, 75.77966
53.17072, 53.17111, 4033.78, 2350.333, 41897, 32287.33, 49761.67, 2135.667, 0, 0, 75.79567
53.16693, 53.16722, 4033.98, 2349, 43000.33, 33165.67, 51169.33, 2174, 0, 0, 75.74934
53.16314, 53.16306, 4034.20, 2346.667, 44342, 34220.67, 52611, 2217, 0, 0, 75.82733
53.15935, 53.15944, 4034.40, 2347.667, 44914.67, 34580, 53485, 2259, 0, 0, 75.81467
53.15555, 53.15583, 4034.59, 2347.333, 45893.67, 35351.33, 54593.67, 2300, 0, 0, 75.686
53.15176, 53.15167, 4034.81, 2346, 47521.67, 36607.33, 56564.33, 2357.333, 0, 0, 75.86333
53.14797, 53.14833, 4034.98, 2346, 48662.33, 37540.33, 57792.33, 2406.667, 0, 0, 75.81167
53.14419, 53.14417, 4035.20, 2346.667, 50051, 38529, 59528.67, 2476.667, 0, 0, 75.77666
53.14040, 53.14028, 4035.41, 2345, 51844.67, 39926, 61631.67, 2549.333, 0, 0, 75.747
53.13660, 53.13694, 4035.58, 2344.667, 53621.67, 41205.33, 63720.33, 2619.333, 0, 0, 75.67133
53.13282, 53.13306, 4035.79, 2343.667, 55114, 42467.67, 65553.66, 2695.333, 0, 0, 75.77033
53.12903, 53.12944, 4035.98, 2341.667, 56863.33, 43738.67, 67636.34, 2767.333, 0, 0, 75.735
53.12526, 53.12556, 4036.18, 2340.333, 58342.67, 44985, 69316.66, 2840.667, 0, 0, 75.63734
53.12147, 53.12167, 4036.39, 2338.667, 59743.33, 46028.33, 71053.66, 2905, 0, 0, 75.79467
