  9809     SPring-8 14b2 
 Ni-K_HAVAR_Si3  20.02.14 00:10 - 20.02.14 00:13
 HAVAR                                                                           
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 28.38972 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4460
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       28.24000  22.58500    -0.001270       0.05      4460
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    47.500   119.700
  28.06474  28.06687     0.050      3444      1355
  28.06347  28.06552     0.050      3438      1356
  28.06220  28.06427     0.050      3448      1360
  28.06093  28.06312     0.050      3445      1359
  28.05966  28.06204     0.050      3434      1358
  28.05839  28.06091     0.050      3449      1362
  28.05712  28.05961     0.050      3450      1365
  28.05585  28.05821     0.050      3446      1366
  28.05458  28.05680     0.050      3441      1364
  28.05331  28.05544     0.050      3457      1371
  28.05204  28.05419     0.050      3448      1367
  28.05077  28.05306     0.050      3449      1369
  28.04950  28.05197     0.050      3457      1373
  28.04823  28.05084     0.050      3459      1376
  28.04696  28.04955     0.050      3446      1372
  28.04569  28.04814     0.050      3457      1377
  28.04442  28.04675     0.050      3462      1381
  28.04315  28.04542     0.050      3452      1377
  28.04188  28.04418     0.050      3449      1378
  28.04061  28.04306     0.050      3456      1381
  28.03934  28.04200     0.050      3454      1381
  28.03807  28.04087     0.050      3449      1382
  28.03680  28.03959     0.050      3459      1385
  28.03553  28.03820     0.050      3453      1385
  28.03426  28.03682     0.050      3448      1382
  28.03299  28.03548     0.050      3455      1386
  28.03172  28.03424     0.050      3461      1391
  28.03045  28.03310     0.050      3459      1390
  28.02918  28.03202     0.050      3453      1389
  28.02791  28.03089     0.050      3464      1395
  28.02664  28.02959     0.050      3461      1395
  28.02537  28.02819     0.050      3454      1391
  28.02410  28.02679     0.050      3460      1397
  28.02283  28.02543     0.050      3465      1400
  28.02156  28.02419     0.050      3456      1395
  28.02029  28.02305     0.050      3454      1397
  28.01902  28.02195     0.050      3465      1401
  28.01775  28.02080     0.050      3463      1403
  28.01648  28.01948     0.050      3461      1400
  28.01521  28.01806     0.050      3465      1405
  28.01394  28.01665     0.050      3471      1406
  28.01267  28.01530     0.050      3461      1404
  28.01140  28.01406     0.050      3462      1403
  28.01013  28.01292     0.050      3474      1411
  28.00886  28.01183     0.050      3470      1411
  28.00759  28.01067     0.050      3463      1407
  28.00632  28.00935     0.050      3478      1415
  28.00505  28.00792     0.050      3474      1415
  28.00378  28.00652     0.050      3472      1414
  28.00251  28.00518     0.050      3477      1416
  28.00124  28.00394     0.050      3485      1420
  27.99997  28.00282     0.050      3476      1419
  27.99870  28.00172     0.050      3472      1417
  27.99743  28.00054     0.050      3480      1420
  27.99616  27.99919     0.050      3486      1423
  27.99489  27.99777     0.050      3475      1420
  27.99362  27.99637     0.050      3481      1422
  27.99235  27.99503     0.050      3483      1424
  27.99108  27.99381     0.050      3479      1422
  27.98981  27.99268     0.050      3478      1426
  27.98854  27.99158     0.050      3486      1429
  27.98727  27.99037     0.050      3489      1430
  27.98600  27.98901     0.050      3483      1429
  27.98473  27.98758     0.050      3487      1431
  27.98346  27.98619     0.050      3497      1436
  27.98219  27.98487     0.050      3489      1436
  27.98092  27.98367     0.050      3492      1436
  27.97965  27.98256     0.050      3494      1439
  27.97838  27.98146     0.050      3504      1444
  27.97711  27.98024     0.050      3489      1438
  27.97584  27.97887     0.050      3500      1442
  27.97457  27.97743     0.050      3505      1447
  27.97330  27.97605     0.050      3503      1447
  27.97203  27.97474     0.050      3491      1442
  27.97076  27.97355     0.050      3506      1451
  27.96949  27.97244     0.050      3507      1451
  27.96822  27.97134     0.050      3496      1448
  27.96695  27.97010     0.050      3506      1452
  27.96568  27.96871     0.050      3513      1455
  27.96441  27.96729     0.050      3504      1453
  27.96314  27.96591     0.050      3504      1456
  27.96187  27.96461     0.050      3510      1458
  27.96060  27.96342     0.050      3514      1461
  27.95933  27.96232     0.050      3506      1458
  27.95806  27.96120     0.050      3516      1465
  27.95679  27.95994     0.050      3522      1468
  27.95552  27.95855     0.050      3515      1466
  27.95425  27.95713     0.050      3517      1467
  27.95298  27.95576     0.050      3528      1474
  27.95171  27.95448     0.050      3526      1475
  27.95044  27.95331     0.050      3514      1469
  27.94917  27.95221     0.050      3531      1478
  27.94790  27.95109     0.050      3531      1478
  27.94663  27.94983     0.050      3519      1477
  27.94536  27.94843     0.050      3524      1479
  27.94409  27.94701     0.050      3534      1484
  27.94282  27.94564     0.050      3525      1481
  27.94155  27.94437     0.050      3520      1479
  27.94028  27.94321     0.050      3534      1487
  27.93901  27.94212     0.050      3530      1486
  27.93774  27.94099     0.050      3522      1485
  27.93647  27.93970     0.050      3537      1492
  27.93520  27.93829     0.050      3538      1493
  27.93393  27.93687     0.050      3537      1493
  27.93266  27.93551     0.050      3533      1494
  27.93139  27.93424     0.050      3543      1498
  27.93012  27.93309     0.050      3545      1500
  27.92885  27.93201     0.050      3529      1494
  27.92758  27.93087     0.050      3546      1502
  27.92631  27.92957     0.050      3553      1505
  27.92504  27.92816     0.050      3536      1498
  27.92377  27.92675     0.050      3550      1507
  27.92250  27.92540     0.050      3556      1510
  27.92123  27.92415     0.050      3544      1505
  27.91996  27.92301     0.050      3543      1506
  27.91869  27.92192     0.050      3559      1512
  27.91742  27.92077     0.050      3556      1512
  27.91615  27.91946     0.050      3543      1509
  27.91488  27.91804     0.050      3561      1519
  27.91361  27.91664     0.050      3565      1517
  27.91234  27.91529     0.050      3555      1516
  27.91107  27.91405     0.050      3558      1519
  27.90980  27.91292     0.050      3570      1524
  27.90853  27.91183     0.050      3563      1522
  27.90726  27.91067     0.050      3557      1520
  27.90599  27.90933     0.050      3570      1527
  27.90472  27.90791     0.050      3567      1526
  27.90345  27.90651     0.050      3558      1523
  27.90218  27.90516     0.050      3568      1528
  27.90091  27.90393     0.050      3580      1533
  27.89964  27.90281     0.050      3566      1528
  27.89837  27.90172     0.050      3569      1531
  27.89710  27.90055     0.050      3587      1538
  27.89583  27.89921     0.050      3577      1536
  27.89456  27.89779     0.050      3567      1531
  27.89329  27.89640     0.050      3580      1538
  27.89202  27.89507     0.050      3591      1544
  27.89075  27.89385     0.050      3568      1536
  27.88948  27.89273     0.050      3580      1540
  27.88821  27.89164     0.050      3588      1546
  27.88694  27.89045     0.050      3586      1542
  27.88567  27.88910     0.050      3575      1541
  27.88440  27.88768     0.050      3589      1548
  27.88313  27.88629     0.050      3598      1550
  27.88186  27.88497     0.050      3582      1547
  27.88059  27.88376     0.050      3587      1549
  27.87932  27.88264     0.050      3599      1556
  27.87805  27.88154     0.050      3591      1551
  27.87678  27.88034     0.050      3584      1549
  27.87551  27.87897     0.050      3598      1555
  27.87424  27.87755     0.050      3600      1557
  27.87297  27.87617     0.050      3588      1554
  27.87170  27.87486     0.050      3600      1559
  27.87043  27.87365     0.050      3603      1561
  27.86916  27.87255     0.050      3601      1560
  27.86789  27.87146     0.050      3598      1558
  27.86662  27.87025     0.050      3607      1565
  27.86535  27.86889     0.050      3610      1566
  27.86408  27.86746     0.050      3603      1562
  27.86281  27.86609     0.050      3611      1568
  27.86154  27.86478     0.050      3612      1568
  27.86027  27.86359     0.050      3606      1568
  27.85900  27.86249     0.050      3608      1568
  27.85773  27.86139     0.050      3621      1573
  27.85646  27.86016     0.050      3613      1572
  27.85519  27.85879     0.050      3610      1572
  27.85392  27.85737     0.050      3619      1575
  27.85265  27.85599     0.050      3620      1574
  27.85138  27.85470     0.050      3616      1575
  27.85011  27.85351     0.050      3619      1577
  27.84884  27.85240     0.050      3623      1581
  27.84757  27.85130     0.050      3624      1581
  27.84630  27.85006     0.050      3620      1578
  27.84503  27.84868     0.050      3634      1584
  27.84376  27.84726     0.050      3634      1586
  27.84249  27.84589     0.050      3621      1581
  27.84122  27.84461     0.050      3630      1585
  27.83995  27.84343     0.050      3634      1587
  27.83868  27.84234     0.050      3632      1586
  27.83741  27.84123     0.050      3631      1587
  27.83614  27.83999     0.050      3635      1588
  27.83487  27.83861     0.050      3637      1590
  27.83360  27.83719     0.050      3633      1587
  27.83233  27.83582     0.050      3638      1593
  27.83106  27.83454     0.050      3643      1593
  27.82979  27.83337     0.050      3642      1594
  27.82852  27.83228     0.050      3638      1592
  27.82725  27.83116     0.050      3648      1599
  27.82598  27.82991     0.050      3647      1595
  27.82471  27.82852     0.050      3639      1595
