  9809     SPring-8 14b2 
 Ni-K_NiMoO4_Si  13.11.27 00:24 - 13.11.27 00:24
 NiMoO4                                                                          
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 14.51133 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4831
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.40000  11.50000    -0.000600       0.01      4831
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   166.800   115.300
  14.31660  14.31765     0.010      3842      3142
  14.31600  14.31715     0.010      3837      3137
  14.31540  14.31665     0.010      3835      3141
  14.31480  14.31612     0.010      3840      3140
  14.31420  14.31557     0.010      3842      3143
  14.31360  14.31503     0.010      3845      3151
  14.31300  14.31445     0.010      3842      3147
  14.31240  14.31380     0.010      3846      3151
  14.31180  14.31311     0.010      3843      3154
  14.31120  14.31245     0.010      3836      3147
  14.31060  14.31181     0.010      3841      3147
  14.31000  14.31114     0.010      3844      3150
  14.30940  14.31047     0.010      3842      3156
  14.30880  14.30985     0.010      3853      3159
  14.30820  14.30926     0.010      3844      3155
  14.30760  14.30867     0.010      3846      3162
  14.30700  14.30808     0.010      3844      3159
  14.30640  14.30754     0.010      3846      3157
  14.30580  14.30704     0.010      3843      3159
  14.30520  14.30654     0.010      3847      3168
  14.30460  14.30601     0.010      3850      3166
  14.30400  14.30546     0.010      3849      3166
  14.30340  14.30491     0.010      3842      3167
  14.30280  14.30432     0.010      3848      3171
  14.30220  14.30365     0.010      3844      3164
  14.30160  14.30296     0.010      3844      3166
  14.30100  14.30230     0.010      3847      3177
  14.30040  14.30166     0.010      3849      3172
  14.29980  14.30098     0.010      3852      3173
  14.29920  14.30032     0.010      3850      3179
  14.29860  14.29970     0.010      3846      3177
  14.29800  14.29911     0.010      3849      3175
  14.29740  14.29852     0.010      3846      3176
  14.29680  14.29794     0.010      3851      3183
  14.29620  14.29740     0.010      3854      3182
  14.29560  14.29691     0.010      3853      3184
  14.29500  14.29640     0.010      3853      3187
  14.29440  14.29585     0.010      3849      3183
  14.29380  14.29531     0.010      3850      3181
  14.29320  14.29476     0.010      3850      3184
  14.29260  14.29414     0.010      3858      3198
  14.29200  14.29346     0.010      3854      3191
  14.29140  14.29277     0.010      3860      3192
  14.29080  14.29212     0.010      3854      3196
  14.29020  14.29147     0.010      3854      3191
  14.28960  14.29079     0.010      3855      3195
  14.28900  14.29014     0.010      3851      3196
  14.28840  14.28953     0.010      3855      3200
  14.28780  14.28894     0.010      3863      3204
  14.28720  14.28835     0.010      3862      3204
  14.28660  14.28778     0.010      3859      3206
