  9809     SPring-8 14b2 
 Fe-K_Fe3N_Si11  12.11.17 12:54 - 12.11.17 12:58
 Fe3N                                                                            
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09994 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   481.200   358.400
  16.88324  16.88593     0.051     11529      6976
  16.88240  16.88505     0.051     11531      6981
  16.88156  16.88414     0.051     11521      6978
  16.88072  16.88324     0.051     11536      6991
  16.87988  16.88241     0.051     11528      6987
  16.87904  16.88160     0.051     11538      6993
  16.87820  16.88083     0.051     11535      6997
  16.87736  16.88013     0.051     11538      6999
  16.87652  16.87943     0.051     11538      7005
  16.87568  16.87870     0.051     11531      7002
  16.87484  16.87795     0.051     11544      7013
  16.87400  16.87711     0.051     11535      7007
  16.87316  16.87619     0.051     11537      7016
  16.87232  16.87530     0.051     11539      7017
  16.87148  16.87440     0.051     11538      7020
  16.87064  16.87349     0.051     11544      7026
  16.86980  16.87264     0.051     11538      7026
  16.86896  16.87183     0.051     11550      7036
  16.86812  16.87103     0.051     11544      7032
  16.86728  16.87031     0.051     11549      7040
  16.86644  16.86961     0.051     11547      7040
  16.86560  16.86888     0.051     11548      7045
  16.86476  16.86813     0.051     11555      7049
  16.86392  16.86733     0.051     11544      7049
  16.86308  16.86642     0.051     11558      7057
  16.86224  16.86552     0.051     11551      7054
  16.86140  16.86462     0.051     11556      7060
  16.86056  16.86371     0.051     11554      7060
  16.85972  16.86284     0.051     11558      7068
  16.85888  16.86202     0.051     11559      7071
  16.85804  16.86122     0.051     11557      7072
  16.85720  16.86048     0.051     11567      7077
  16.85636  16.85979     0.051     11555      7073
  16.85552  16.85906     0.051     11571      7087
  16.85468  16.85832     0.051     11563      7086
  16.85384  16.85754     0.051     11568      7088
  16.85300  16.85665     0.051     11574      7093
  16.85216  16.85573     0.051     11566      7093
  16.85132  16.85485     0.051     11582      7104
