   9809     AichiSR  BL5S1
 Ref Ti4O7       22.09.16 10:16 - 22.09.16 10:18
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.3 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 23.66393 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4632
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        4665.33   6065.33        0.30       0.02      4634
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4466.100 10608.300 72342.100
  24.93131  24.93232    0.0234   6118974   1073752    505632
  24.93000  24.93102    0.0234   6116864   1075672    517672
  24.92869  24.92970    0.0234   6122024   1076452    518849
  24.92739  24.92839    0.0234   6123514   1078062    521288
  24.92608  24.92708    0.0234   6124204   1079372    520018
  24.92478  24.92574    0.0234   6125244   1078832    525442
  24.92347  24.92439    0.0234   6124864   1078902    527289
  24.92217  24.92311    0.0234   6127134   1080102    507170
  24.92086  24.92184    0.0234   6122704   1082902    506593
  24.91956  24.92052    0.0234   6125134   1083022    513864
  24.91825  24.91921    0.0234   6125284   1084442    518595
  24.91694  24.91791    0.0234   6123024   1086752    524427
  24.91564  24.91659    0.0234   6122634   1084832    532482
  24.91433  24.91525    0.0234   6123784   1087942    528443
  24.91303  24.91393    0.0234   6122134   1088292    535021
  24.91172  24.91267    0.0234   6120784   1088022    532213
  24.91042  24.91139    0.0234   6120904   1089482    528097
  24.90911  24.91008    0.0234   6116894   1089412    529058
  24.90781  24.90878    0.0234   6120634   1090912    532559
  24.90650  24.90748    0.0234   6114824   1088832    528750
  24.90519  24.90616    0.0234   6110594   1089792    519518
  24.90389  24.90482    0.0234   6107364   1090642    516310
  24.90258  24.90352    0.0234   6103894   1092562    523365
  24.90128  24.90225    0.0234   6098124   1090522    535675
  24.89997  24.90095    0.0234   6092974   1090872    535944
  24.89867  24.89963    0.0234   6088974   1089982    538406
  24.89736  24.89831    0.0234   6086014   1091602    521826
  24.89606  24.89700    0.0234   6086744   1092022    521057
  24.89475  24.89566    0.0234   6086164   1094602    520672
  24.89344  24.89431    0.0234   6091544   1095982    527750
  24.89214  24.89304    0.0234   6107054   1099602    541545
  24.89083  24.89176    0.0234   6119864   1101452    542560
  24.88953  24.89045    0.0234   6132974   1105062    535790
  24.88822  24.88914    0.0234   6140134   1106872    542791
  24.88692  24.88784    0.0234   6148484   1110952    539714
  24.88561  24.88652    0.0234   6154594   1111222    545368
  24.88431  24.88518    0.0234   6159064   1114832    544753
  24.88300  24.88387    0.0234   6162444   1114912    546792
  24.88169  24.88261    0.0234   6169104   1116762    544022
  24.88039  24.88133    0.0234   6171994   1115952    543546
  24.87908  24.88002    0.0234   6175634   1117912    554485
  24.87778  24.87872    0.0234   6177634   1123642    545368
  24.87647  24.87741    0.0234   6179944   1122562    546638
  24.87517  24.87608    0.0234   6179064   1124562    551562
  24.87386  24.87473    0.0234   6180674   1124102    554177
  24.87256  24.87343    0.0234   6179644   1125182    543445
  24.87125  24.87216    0.0234   6178604   1126102    546638
  24.86994  24.87086    0.0234   6180144   1127032    540522
  24.86864  24.86954    0.0234   6178914   1127192    556856
  24.86733  24.86823    0.0234   6177634   1128302    562025
  24.86603  24.86691    0.0234   6178174   1129372    557832
  24.86472  24.86557    0.0234   6176064   1130372    554177
  24.86342  24.86423    0.0234   6175634   1131572    554101
  24.86211  24.86296    0.0234   6178104   1132182    560448
  24.86081  24.86169    0.0234   6179484   1134572    555139
